time,val
2018-04-11T08:12:40,0.08491635
2018-04-11T08:13:00,0.08474582
2018-04-11T08:13:20,0.1554513
2018-04-11T08:13:40,0.1406682
2018-04-11T08:14:00,0.1702231
2018-04-11T08:14:20,0.1333373
2018-04-11T08:14:40,0.05308475
2018-04-11T08:15:00,0.1472206
2018-04-11T08:15:20,0.1400596
2018-04-11T08:15:40,0.1733155
2018-04-11T08:16:00,0.1198571
2018-04-11T08:16:20,0.1600171
2018-04-11T08:16:40,0.1067573
2018-04-11T08:17:00,0.1600592
2018-04-11T08:17:20,0.1732712
2018-04-11T08:17:40,0.1734361
2018-04-11T08:18:00,0.1466938
2018-04-11T08:18:20,0.1598907
2018-04-11T08:18:40,0.1601572
2018-04-11T08:19:00,0.2530005
2018-04-11T08:19:20,0.1601025
2018-04-11T08:19:40,0.1866767
2018-04-11T08:20:00,0.1728762
2018-04-11T08:20:20,0.1468113
2018-04-11T08:20:40,0.1335217
2018-04-11T08:21:00,0.1466573
2018-04-11T08:21:20,0.1533227
2018-04-11T08:21:40,0.2932423
2018-04-11T08:22:00,0.09332319
2018-04-11T08:22:20,0.1466985
2018-04-11T08:22:40,0.1067047
2018-04-11T08:23:00,0.1733425
2018-04-11T08:23:20,0.1000003
2018-04-11T08:23:40,0.08703287
2018-04-11T08:24:00,0.07406541
2018-04-11T08:24:20,0.06109795
2018-04-11T08:24:40,0.04813049
2018-04-11T08:25:00,0.03516303
2018-04-11T08:25:20,0.1267346
2018-04-11T08:25:40,0.1198267
2018-04-11T08:26:00,0.2002666
2018-04-11T08:26:20,0.1399913
2018-04-11T08:26:40,0.2132925
2018-04-11T08:27:00,0.09331729
2018-04-11T08:27:20,0.1199967
2018-04-11T08:27:40,0.2785172
2018-04-11T08:28:00,0.1203408
2018-04-11T08:28:20,0.1335285
2018-04-11T08:28:40,0.1194365
2018-04-11T08:29:00,0.1740951
